time,right_j0,right_j1,right_j2,right_j3,right_j4,right_j5,right_j6,right_gripper
0.226137,0.103389648437,-0.870235351562,-0.0029970703125,2.10214453125,0.0032275390625,-0.00037890625,0.004087890625,0.0395508126095
0.226269,0.103389648437,-0.870235351562,-0.0029970703125,2.10214453125,0.0032275390625,-0.00037890625,0.004087890625,0.0395508126095
0.236361,0.103081054688,-0.870235351562,-0.0029970703125,2.102,0.003021484375,-0.00037890625,0.004087890625,0.0395508126095
0.246354,0.10256640625,-0.870235351562,-0.0029970703125,2.1017109375,0.002814453125,-0.000171875,0.004087890625,0.0395508126095
0.256347,0.1021484375,-0.8701328125,-0.0031416015625,2.1017109375,0.002814453125,-0.000171875,0.004087890625,0.0395508126095
0.266448,0.101736328125,-0.8701328125,-0.0032861328125,2.10156640625,0.002814453125,-0.000171875,0.004087890625,0.0395508126095
0.276790,0.101221679687,-0.8701328125,-0.0032861328125,2.10156640625,0.002814453125,4.6875e-05,0.004087890625,0.0395508126095
0.286355,0.100501953125,-0.870029296875,-0.0032861328125,2.10156640625,0.003021484375,4.6875e-05,0.004087890625,0.0395508126095
0.296351,0.0998779296875,-0.870029296875,-0.0032861328125,2.10156640625,0.003021484375,4.6875e-05,0.004087890625,0.0395508126095
0.306353,0.0991572265625,-0.869926757812,-0.0032861328125,2.10156640625,0.0032275390625,0.00025390625,0.004087890625,0.0395508126095
0.316370,0.0982314453125,-0.869926757812,-0.0032861328125,2.10142285156,0.0034345703125,0.0004609375,0.004087890625,0.0395508126095
0.326359,0.0974013671875,-0.869926757812,-0.0032861328125,2.10142285156,0.0036416015625,0.0004609375,0.004087890625,0.0395508126095
0.336342,0.0964755859375,-0.869926757812,-0.0032861328125,2.10113378906,0.0038349609375,0.0004609375,0.004087890625,0.0395508126095
0.346368,0.095439453125,-0.870029296875,-0.0032861328125,2.10098925781,0.004041015625,0.00025390625,0.004087890625,0.0395508126095
0.356361,0.0943076171875,-0.8701328125,-0.0032861328125,2.10084472656,0.004248046875,0.00025390625,0.004087890625,0.0395508126095
0.366349,0.0929638671875,-0.870235351562,-0.0032861328125,2.10055664062,0.004248046875,0.0004609375,0.004087890625,0.0395508126095
0.376350,0.091728515625,-0.870235351562,-0.0034306640625,2.10026757812,0.004248046875,0.0004609375,0.004087890625,0.0395508126095
0.386341,0.09028125,-0.870337890625,-0.00357421875,2.09997851563,0.004248046875,0.0004609375,0.004087890625,0.0395508126095
0.396338,0.08862890625,-0.87044140625,-0.00371875,2.09954589844,0.004041015625,0.0004609375,0.004087890625,0.0395508126095
0.406339,0.0869755859375,-0.87044140625,-0.00371875,2.09911230469,0.004041015625,0.0004609375,0.004087890625,0.0395508126095
0.416340,0.0851171875,-0.870543945313,-0.00386328125,2.0986796875,0.004041015625,0.0006669921875,0.004087890625,0.0395508126095
0.426344,0.0832646484375,-0.870543945313,-0.00386328125,2.09824609375,0.004041015625,0.0006669921875,0.004087890625,0.0395508126095
0.436344,0.0812001953125,-0.870647460938,-0.00386328125,2.09780371094,0.004041015625,0.0006669921875,0.004087890625,0.0395508126095
0.446423,0.0791357421875,-0.870647460938,-0.0040078125,2.09737109375,0.004248046875,0.0006669921875,0.004087890625,0.0395508126095
0.456342,0.076865234375,-0.87075,-0.0040078125,2.09679394531,0.004248046875,0.0006669921875,0.004087890625,0.0395508126095
0.466340,0.074279296875,-0.870852539063,-0.00415234375,2.09636035156,0.004248046875,0.0006669921875,0.004087890625,0.0395508126095
0.476337,0.071802734375,-0.870852539063,-0.00415234375,2.09563867188,0.004248046875,0.0006669921875,0.004087890625,0.0395508126095
0.486340,0.0695322265625,-0.870956054688,-0.00415234375,2.09491699219,0.004248046875,0.0006669921875,0.004087890625,0.0395508126095
0.496337,0.0668505859375,-0.87105859375,-0.00415234375,2.09433886719,0.004248046875,0.0006669921875,0.004087890625,0.0395508126095
0.506337,0.0637509765625,-0.871161132812,-0.0040078125,2.0936171875,0.004041015625,0.0006669921875,0.004087890625,0.0395508126095
0.516346,0.0611708984375,-0.871264648437,-0.0040078125,2.09304003906,0.004041015625,0.0008740234375,0.004087890625,0.0395508126095
0.526346,0.058283203125,-0.871264648437,-0.0040078125,2.09231738281,0.004041015625,0.0008740234375,0.004087890625,0.0395508126095
0.536349,0.05518359375,-0.8713671875,-0.0040078125,2.09174023438,0.004041015625,0.0008740234375,0.004087890625,0.0395508126095
0.546351,0.05178125,-0.8713671875,-0.0040078125,2.09101855469,0.004041015625,0.001080078125,0.004087890625,0.0395508126095
0.556344,0.0488935546875,-0.8713671875,-0.00415234375,2.09057617188,0.004041015625,0.001080078125,0.004087890625,0.0395508126095
0.566349,0.0456904296875,-0.871470703125,-0.00415234375,2.08999902344,0.004041015625,0.001080078125,0.004087890625,0.0395508126095
0.576346,0.04197265625,-0.871470703125,-0.00415234375,2.08942089844,0.004041015625,0.001080078125,0.004087890625,0.0395508126095
0.586350,0.038466796875,-0.871470703125,-0.00415234375,2.08884375,0.004248046875,0.001287109375,0.004087890625,0.0395508126095
0.596342,0.0351611328125,-0.8713671875,-0.00415234375,2.08841113281,0.004248046875,0.001287109375,0.004087890625,0.0395508126095
0.606345,0.031546875,-0.8713671875,-0.0040078125,2.08783300781,0.004248046875,0.001287109375,0.004087890625,0.0395508126095
0.616342,0.027732421875,-0.8713671875,-0.0040078125,2.08740039063,0.004248046875,0.001287109375,0.004087890625,0.0395508126095
0.626414,0.0233974609375,-0.871264648437,-0.00386328125,2.08682226562,0.004248046875,0.001287109375,0.004087890625,0.0395508126095
