time,right_j0,right_j1,right_j2,right_j3,right_j4,right_j5,right_j6,right_gripper
4.857554,-1.69298242188,-0.682865234375,-0.001111328125,1.79902929687,-0.010521484375,0.34223828125,0.010931640625,0.0401345884413
4.867592,-1.69513671875,-0.6806015625,-0.001111328125,1.79931835937,-0.010314453125,0.342651367188,0.010931640625,0.0401345884413
4.877551,-1.69729785156,-0.678337890625,-0.001111328125,1.79946289063,-0.0101083984375,0.343284179688,0.010931640625,0.0401345884413
4.887551,-1.69945898438,-0.675970703125,-0.001111328125,1.79960742188,-0.0097080078125,0.343697265625,0.010931640625,0.0401345884413
4.897546,-1.70172265625,-0.6733984375,-0.000966796875,1.79990527344,-0.0097080078125,0.34431640625,0.010931640625,0.0401345884413
4.907540,-1.70408984375,-0.670825195312,-0.0008232421875,1.80004882812,-0.0095009765625,0.344936523437,0.010931640625,0.0401345884413
4.917547,-1.70635351563,-0.668149414062,-0.0006787109375,1.80019335937,-0.0095009765625,0.345762695312,0.010931640625,0.0401345884413
4.927553,-1.7086171875,-0.66537109375,-0.0006787109375,1.80033789063,-0.009294921875,0.3463828125,0.010931640625,0.0401345884413
4.937593,-1.71077832031,-0.662489257813,-0.00053515625,1.80033789063,-0.009087890625,0.347415039062,0.010931640625,0.0401345884413
4.947567,-1.71304296875,-0.659504882812,-0.00053515625,1.80033789063,-0.009294921875,0.348254882812,0.010931640625,0.0401345884413
4.957565,-1.71529980469,-0.656520507813,-0.0006787109375,1.80033789063,-0.009294921875,0.349081054688,0.010931640625,0.0401345884413
4.967547,-1.7174609375,-0.653536132813,-0.0006787109375,1.80033789063,-0.009294921875,0.3503203125,0.010931640625,0.0401345884413
4.977546,-1.71972558594,-0.650552734375,-0.0006787109375,1.80019335937,-0.009294921875,0.351353515625,0.010931640625,0.0401345884413
4.987553,-1.72198925781,-0.64746484375,-0.00053515625,1.80019335937,-0.009294921875,0.3521796875,0.010931640625,0.0401345884413
4.997549,-1.72425292969,-0.644377929687,-0.000390625,1.80004882812,-0.009087890625,0.353638671875,0.010931640625,0.0401345884413
5.007553,-1.72651757812,-0.641290039063,-0.00024609375,1.79975195312,-0.0088818359375,0.354877929687,0.010931640625,0.0401345884413
5.017552,-1.728671875,-0.638203125,-0.0001015625,1.79960742188,-0.0086748046875,0.355911132812,0.010931640625,0.0401345884413
5.027553,-1.73073046875,-0.635012695313,-0.0001015625,1.79931835937,-0.00846875,0.357163085938,0.010931640625,0.0401345884413
5.037509,-1.73278808594,-0.631823242187,4.296875e-05,1.79902929687,-0.00846875,0.358196289063,0.011138671875,0.0401345884413
5.047554,-1.73474316406,-0.6286328125,4.296875e-05,1.79859667969,-0.00826171875,0.359022460938,0.011138671875,0.0401345884413
5.057545,-1.73658984375,-0.62533984375,4.296875e-05,1.79816308594,-0.00826171875,0.36026171875,0.011138671875,0.0401345884413
5.067541,-1.73844140625,-0.622046875,4.296875e-05,1.79773046875,-0.00826171875,0.361087890625,0.011138671875,0.0401345884413
5.077543,-1.74019140625,-0.618856445312,4.296875e-05,1.797296875,-0.00826171875,0.361926757812,0.011138671875,0.0401345884413
5.087546,-1.74194042969,-0.615563476562,0.0001875,1.79656640625,-0.00846875,0.36275390625,0.011138671875,0.0401345884413
5.097553,-1.74358691406,-0.612373046875,0.0001875,1.79598828125,-0.00846875,0.363166992187,0.011138671875,0.0401345884413
5.107553,-1.74513085937,-0.609182617187,0.0001875,1.79541113281,-0.00846875,0.363580078125,0.011138671875,0.0401345884413
5.117551,-1.74657128906,-0.605993164063,0.0001875,1.79468945312,-0.00826171875,0.363993164062,0.011138671875,0.0401345884413
5.127549,-1.74801269531,-0.602802734375,0.0001875,1.79396777344,-0.00826171875,0.363993164062,0.011138671875,0.0401345884413
5.137571,-1.74935058594,-0.599708984375,0.0001875,1.79338085938,-0.00826171875,0.363993164062,0.011138671875,0.0401345884413
5.147553,-1.7506875,-0.596622070313,4.296875e-05,1.79251464844,-0.00826171875,0.36419921875,0.011138671875,0.0401345884413
5.157576,-1.75192285156,-0.593534179687,4.296875e-05,1.7916484375,-0.00826171875,0.363993164062,0.011138671875,0.0401345884413
5.167551,-1.75315820312,-0.590447265625,4.296875e-05,1.7907734375,-0.00826171875,0.363993164062,0.011138671875,0.0401345884413
5.177557,-1.75429003906,-0.587256835937,4.296875e-05,1.78990722656,-0.0080556640625,0.363993164062,0.011138671875,0.0401345884413
